,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
0,Aaron Bergman,16,89,120359.57,50.99,96.8,89.57,3.44,Medium value Customer
1,Aaron Hawkins,12,56,102027.9,62.41,27.83,80.03,4.21,Medium value Customer
2,Aaron Smayling,23,60,64406.24,38.23,38.69,38.82,2.58,Medium value Customer
3,Adam Bellavance,35,68,109573.01,22.19,62.19,85.3,1.5,Very low value Customer
4,Adam Hart,2,84,91431.55,89.67,92.27,71.48,6.05,Top Customer
5,Adam Shillingsburg,15,71,74311.74,53.82,69.54,53.64,3.63,Medium value Customer
6,Adrian Barton,27,77,186818.3,32.78,81.78,99.5,2.21,Low value Customer
7,Adrian Hane,21,54,52745.66,42.66,21.8,22.49,2.88,Medium value Customer
8,Adrian Shami,41,44,49139.75,16.61,6.16,17.71,1.12,Very low value Customer
9,Aimee Bixby,35,55,105330.48,22.19,24.56,82.54,1.5,Very low value Customer
10,Alan Barnes,13,60,62265.08,59.4,38.69,35.05,4.01,Medium value Customer
11,Alan Dominguez,5,55,89011.98,81.65,24.56,69.35,5.51,Top Customer
12,Alan Haines,49,77,71713.3,10.78,81.78,49.12,0.73,Very low value Customer
13,Alan Hwang,6,74,112799.73,77.04,75.38,86.81,5.2,High value Customer
14,Alan Schoenberger,2,73,114495.09,89.67,73.3,87.56,6.05,Top Customer
15,Alan Shonely,12,63,51542.57,62.41,47.17,20.85,4.21,Medium value Customer
16,Alejandro Ballentine,5,68,56820.24,81.65,62.19,27.89,5.51,Top Customer
17,Alejandro Grove,13,67,86881.53,59.4,58.67,67.34,4.01,Medium value Customer
18,Alejandro Savely,18,77,112425.06,48.88,81.78,86.56,3.3,Medium value Customer
19,Aleksandra Gannaway,2,58,66425.92,89.67,33.61,42.09,6.05,Top Customer
20,Alex Avila,2,50,64601.23,89.67,14.64,39.2,6.05,Top Customer
21,Alex Grayson,2,77,50400.67,89.67,81.78,19.35,6.05,Top Customer
22,Alex Russell,29,64,62303.67,28.74,50.19,35.43,1.94,Low value Customer
23,Alice McCarthy,15,77,89640.26,53.82,81.78,69.85,3.63,Medium value Customer
24,Allen Armold,6,55,25459.94,77.04,24.56,1.38,5.2,High value Customer
25,Allen Goldenen,112,53,36551.4,1.41,19.79,5.28,0.1,Very low value Customer
26,Allen Rosenblatt,54,50,42143.95,8.66,14.64,10.43,0.58,Very low value Customer
27,Alyssa Crouse,6,61,83528.74,77.04,41.33,63.69,5.2,High value Customer
28,Alyssa Tate,12,65,84290.12,62.41,52.95,65.2,4.21,Medium value Customer
29,Amy Cox,5,39,72881.07,81.65,2.39,51.63,5.51,Top Customer
30,Amy Hunt,70,39,51642.55,5.39,2.39,20.98,0.36,Very low value Customer
31,Andrew Allen,125,48,95311.72,0.77,10.93,74.75,0.05,Very low value Customer
32,Andrew Gjertsen,48,78,91560.25,11.8,84.17,71.98,0.8,Very low value Customer
33,Andrew Roberts,14,69,76919.48,56.77,65.45,57.79,3.83,Medium value Customer
34,Andy Gerbode,12,44,68711.33,62.41,6.16,45.85,4.21,Medium value Customer
35,Andy Reiter,6,35,31626.49,77.04,0.88,2.76,5.2,High value Customer
36,Andy Yotov,14,50,35531.56,56.77,14.64,4.02,3.83,Medium value Customer
37,Anemone Ratner,2,50,53544.83,89.67,14.64,23.62,6.05,Top Customer
38,Angele Hood,21,49,56979.78,42.66,12.63,28.27,2.88,Medium value Customer
39,Ann Blume,7,64,90474.86,73.44,50.19,70.6,4.96,High value Customer
40,Ann Chong,6,83,59541.76,77.04,90.64,32.29,5.2,High value Customer
41,Ann Steele,33,55,86048.7,25.02,24.56,66.71,1.69,Low value Customer
42,Anna Andreadi,28,91,76482.47,30.6,97.3,56.91,2.07,Low value Customer
43,Anna Chung,2,43,37504.26,89.67,4.96,5.9,6.05,Top Customer
44,Anna Gayman,47,77,61719.21,12.64,81.78,34.92,0.85,Very low value Customer
45,Anna Häberlin,30,76,97796.25,27.39,79.27,76.38,1.85,Low value Customer
46,Anne McFarland,25,79,126295.5,36.56,85.99,92.46,2.47,Low value Customer
47,Anne Pryor,37,63,74302.6,19.69,47.17,53.52,1.33,Very low value Customer
48,Annie Thurman,2,55,62453.75,89.67,24.56,35.68,6.05,Top Customer
49,Annie Zypern,26,68,58829.72,34.77,62.19,31.16,2.35,Low value Customer
50,Anthony Garverick,28,58,57030.83,30.6,33.61,28.52,2.07,Low value Customer
51,Anthony Jacobs,1,79,74537.71,95.06,85.99,53.89,6.42,Top Customer
52,Anthony Johnson,36,77,49601.29,20.85,81.78,18.22,1.41,Very low value Customer
53,Anthony O'Donnell,7,60,65364.99,73.44,38.69,40.58,4.96,High value Customer
54,Anthony Rawles,22,72,82727.33,40.09,71.48,63.32,2.71,Medium value Customer
